t1::A2::der aktienindex::original | t1 | A2 | der Aktienindex | original | Der DAX ist der wichtigste Aktienindex in Deutschland.
t1::B1::das allzeithoch::generated | t1 | B1 | das Allzeithoch | generated | Ein Allzeithoch zeigt, dass ein Markt so hoch steht wie noch nie zuvor.
t1::B1::der haupttreiber::original | t1 | B1 | der Haupttreiber | original | Als Haupttreiber gelten starke Quartalsergebnisse mehrerer DAX-Konzerne, insbesondere SAP, Siemens und Allianz.
t1::B1::der haupttreiber::generated | t1 | B1 | der Haupttreiber | generated | Ein Haupttreiber für steigende Kurse kann auch die Hoffnung auf sinkende Zinsen sein.
t1::B1::die erleichterung::original | t1 | B1 | die Erleichterung | original | Hinzu kommt die Erleichterung über die Waffenruhe im Iran-Konflikt, die die Energiepreise stabilisiert hat.
t1::B1::die erleichterung::generated | t1 | B1 | die Erleichterung | generated | Nach guten Nachrichten spüren viele Anleger sofort Erleichterung.
t1::B1::die waffenruhe::original | t1 | B1 | die Waffenruhe | original | Hinzu kommt die Erleichterung über die Waffenruhe im Iran-Konflikt, die die Energiepreise stabilisiert hat.
t1::B1::die waffenruhe::generated | t1 | B1 | die Waffenruhe | generated | Eine Waffenruhe kann Märkte beruhigen und neue Hoffnungen schaffen.
t1::B1::die zinssenkung::original | t1 | B1 | die Zinssenkung | original | Auch die Aussicht auf weitere Zinssenkungen der Europäischen Zentralbank beflügelt die Stimmung.
t1::B1::die zinssenkung::generated | t1 | B1 | die Zinssenkung | generated | Eine Zinssenkung macht Kredite oft billiger und Aktien attraktiver.
t1::B1::die stimmung::original | t1 | B1 | die Stimmung | original | Auch die Aussicht auf weitere Zinssenkungen der Europäischen Zentralbank beflügelt die Stimmung.
t1::B1::die stimmung::generated | t1 | B1 | die Stimmung | generated | Eine gute Stimmung an der Börse kann viele Käufer anziehen.
t1::B1::warnen::original | t1 | B1 | warnen | original | Experten warnen jedoch vor übertriebenen Optimismus.
t1::B1::warnen::generated | t1 | B1 | warnen | generated | Analysten warnen oft davor, in einer Euphorie unvorsichtig zu investieren.
t1::B1::der zustand::original | t1 | B1 | der Zustand | original | Ein steigender Aktienindex spiegelt nicht zwingend den Zustand der Gesamtwirtschaft wider.
t1::B1::der zustand::generated | t1 | B1 | der Zustand | generated | Der Zustand einer Wirtschaft hängt von vielen Faktoren ab.
t1::B1::die binnennachfrage::original | t1 | B1 | die Binnennachfrage | original | Die Binnennachfrage in Deutschland bleibt schwach, und viele mittelständische Unternehmen kämpfen weiterhin mit hohen Kosten.
t1::B1::die binnennachfrage::generated | t1 | B1 | die Binnennachfrage | generated | Wenn die Binnennachfrage sinkt, verkaufen viele Firmen im Inland weniger.
t1::B1::schwach::original | t1 | B1 | schwach | original | Die Binnennachfrage in Deutschland bleibt schwach, und viele mittelständische Unternehmen kämpfen weiterhin mit hohen Kosten.
t1::B1::schwach::generated | t1 | B1 | schwach | generated | Eine schwache Nachfrage belastet oft die gesamte Wirtschaft.
t1::B2::die rally::original | t1 | B2 | die Rally | original | Die Rally wird von einem Mix aus stabilen Unternehmensgewinnen, gesunkenen Zinsen und geopolitischer Entspannung getragen – eine Konstellation, die Anleger in risikoreichere Assets treibt.
t1::B2::die rally::generated | t1 | B2 | die Rally | generated | Eine Rally an der Börse kann schnell sehr viele neue Käufer anziehen.
t1::B2::die konstellation::original | t1 | B2 | die Konstellation | original | Die Rally wird von einem Mix aus stabilen Unternehmensgewinnen, gesunkenen Zinsen und geopolitischer Entspannung getragen – eine Konstellation, die Anleger in risikoreichere Assets treibt.
t1::B2::die konstellation::generated | t1 | B2 | die Konstellation | generated | Diese Konstellation aus niedrigen Zinsen und hoher Nachfrage stützt viele Märkte.
t1::B2::die indexstärke::original | t1 | B2 | die Indexstärke | original | Besonders SAP trägt zur Indexstärke bei.
t1::B2::die indexstärke::generated | t1 | B2 | die Indexstärke | generated | Eine starke Indexstärke kann auf wenige sehr schwere Aktien zurückgehen.
t1::B2::der cloud-umsatz::original | t1 | B2 | der Cloud-Umsatz | original | Der Walldorfer Softwarekonzern hat seinen Cloud-Umsatz 2025 auf 21 Milliarden Euro gesteigert.
t1::B2::der cloud-umsatz::generated | t1 | B2 | der Cloud-Umsatz | generated | Der Cloud-Umsatz wächst oft schneller als das klassische Softwaregeschäft.
t1::B2::der free cashflow::original | t1 | B2 | der Free Cashflow | original | Der Walldorfer Softwarekonzern hat seinen Cloud-Umsatz 2025 auf 21 Milliarden Euro gesteigert und peilt für 2026 einen Free Cashflow von 10 Milliarden Euro an.
t1::B2::der free cashflow::generated | t1 | B2 | der Free Cashflow | generated | Ein hoher Free Cashflow macht ein Unternehmen für viele Investoren attraktiv.
t1::B2::profitieren::original | t1 | B2 | profitieren | original | Auch Siemens Energy profitiert vom Boom bei Infrastrukturausrüstung.
t1::B2::profitieren::generated | t1 | B2 | profitieren | generated | Viele Unternehmen profitieren, wenn der Staat mehr investiert.
t1::B2::die konjunktur::original | t1 | B2 | die Konjunktur | original | Während der DAX Rekorde schreibt, stagniert die deutsche Konjunktur.
t1::B2::die konjunktur::generated | t1 | B2 | die Konjunktur | generated | Eine schwache Konjunktur bremst oft auch den Konsum der privaten Haushalte.
t1::B2::der einstiegszeitpunkt::original | t1 | B2 | der Einstiegszeitpunkt | original | Für Kleinanleger, die erst jetzt einsteigen wollen, stellt sich die klassische Frage: Ist das noch ein guter Einstiegszeitpunkt – oder der Gipfel vor dem Absturz?
t1::B2::der einstiegszeitpunkt::generated | t1 | B2 | der Einstiegszeitpunkt | generated | Der richtige Einstiegszeitpunkt ist an der Börse oft schwer zu erkennen.
t1::B2::der absturz::original | t1 | B2 | der Absturz | original | Für Kleinanleger, die erst jetzt einsteigen wollen, stellt sich die klassische Frage: Ist das noch ein guter Einstiegszeitpunkt – oder der Gipfel vor dem Absturz?
t1::B2::der absturz::generated | t1 | B2 | der Absturz | generated | Nach einem schnellen Anstieg fürchten viele Anleger einen plötzlichen Absturz.
t1::C1::die entkopplung::original | t1 | C1 | die Entkopplung | original | Dass der wichtigste deutsche Aktienindex Rekordstände markiert, während die Binnennachfrage stagniert, die Insolvenzzahlen im Mittelstand historische Höchststände erreichen und die Industrieproduktion in weiten Teilen rückläufig ist, offenbart eine zunehmende Entkopplung von Börsenwert und volkswirtschaftlicher Substanz.
t1::C1::die entkopplung::generated | t1 | C1 | die Entkopplung | generated | Die Entkopplung zwischen Börse und Realwirtschaft ist eines der zentralen Themen des Artikels.
t1::C1::die binnennachfrage::original | t1 | C1 | die Binnennachfrage | original | Dass der wichtigste deutsche Aktienindex Rekordstände markiert, während die Binnennachfrage stagniert, die Insolvenzzahlen im Mittelstand historische Höchststände erreichen und die Industrieproduktion in weiten Teilen rückläufig ist, offenbart eine zunehmende Entkopplung von Börsenwert und volkswirtschaftlicher Substanz.
t1::C1::die binnennachfrage::generated | t1 | C1 | die Binnennachfrage | generated | Eine schwache Binnennachfrage kann das Wachstum einer Volkswirtschaft deutlich bremsen.
t1::C1::die insolvenzzahl::original | t1 | C1 | die Insolvenzzahl | original | Dass der wichtigste deutsche Aktienindex Rekordstände markiert, während die Binnennachfrage stagniert, die Insolvenzzahlen im Mittelstand historische Höchststände erreichen und die Industrieproduktion in weiten Teilen rückläufig ist, offenbart eine zunehmende Entkopplung von Börsenwert und volkswirtschaftlicher Substanz.
t1::C1::die insolvenzzahl::generated | t1 | C1 | die Insolvenzzahl | generated | Steigende Insolvenzzahlen sind oft ein Warnsignal für die reale Wirtschaft.
t1::C1::die substanz::original | t1 | C1 | die Substanz | original | Dass der wichtigste deutsche Aktienindex Rekordstände markiert, während die Binnennachfrage stagniert, die Insolvenzzahlen im Mittelstand historische Höchststände erreichen und die Industrieproduktion in weiten Teilen rückläufig ist, offenbart eine zunehmende Entkopplung von Börsenwert und volkswirtschaftlicher Substanz.
t1::C1::die substanz::generated | t1 | C1 | die Substanz | generated | Auf lange Sicht setzt sich an den Märkten meist die wirtschaftliche Substanz durch.
t1::C1::das abbild::original | t1 | C1 | das Abbild | original | Der DAX ist kein Abbild der deutschen Wirtschaft, sondern ein Index multinationaler Konzerne, die den Großteil ihres Umsatzes im Ausland erzielen.
t1::C1::das abbild::generated | t1 | C1 | das Abbild | generated | Ein Aktienindex ist nicht immer ein genaues Abbild der gesamten Wirtschaft.
t1::C1::multinational::original | t1 | C1 | multinational | original | Der DAX ist kein Abbild der deutschen Wirtschaft, sondern ein Index multinationaler Konzerne, die den Großteil ihres Umsatzes im Ausland erzielen.
t1::C1::multinational::generated | t1 | C1 | multinational | generated | Viele multinationale Konzerne reagieren stärker auf globale als auf nationale Entwicklungen.
t1::C1::die finanzmarktbedingungen::original | t1 | C1 | die Finanzmarktbedingungen | original | Ein steigender DAX signalisiert damit primär, dass globale Nachfrage und internationale Finanzmarktbedingungen günstig sind – nicht, dass der Standort Deutschland floriert.
t1::C1::die finanzmarktbedingungen::generated | t1 | C1 | die Finanzmarktbedingungen | generated | Günstige Finanzmarktbedingungen können die Kurse auch ohne starke Binnenwirtschaft treiben.
t1::C1::zweideutig::original | t1 | C1 | zweideutig | original | Geldpolitisch bleibt die Lage zweideutig.
t1::C1::zweideutig::generated | t1 | C1 | zweideutig | generated | Die Lage ist zweideutig, weil positive Börsensignale und schwache Konjunkturdaten gleichzeitig auftreten.
t1::C1::die tina-logik::original | t1 | C1 | die TINA-Logik | original | Diese sogenannte TINA-Logik (There Is No Alternative) treibt Kapital in Aktienmärkte, auch wenn die Fundamentaldaten ambivalent bleiben.
t1::C1::die tina-logik::generated | t1 | C1 | die TINA-Logik | generated | Die TINA-Logik erklärt, warum Anleger trotz Risiken weiter Aktien kaufen.
t1::C1::ambivalent::original | t1 | C1 | ambivalent | original | Diese sogenannte TINA-Logik (There Is No Alternative) treibt Kapital in Aktienmärkte, auch wenn die Fundamentaldaten ambivalent bleiben.
t1::C1::ambivalent::generated | t1 | C1 | ambivalent | generated | Viele Wirtschaftsdaten bleiben ambivalent und lassen unterschiedliche Interpretationen zu.
t1::A2::der aktienindex::original | t1 | A2 | der Aktienindex | original | Der DAX ist der wichtigste Aktienindex in Deutschland.
t1::A2::der aktienindex::generated | t1 | A2 | der Aktienindex | generated | Ein Aktienindex hilft vielen Menschen, die Entwicklung des Marktes schnell zu verstehen.
t1::A2::die börse::original | t1 | A2 | die Börse | original | Er zeigt, wie gut die 40 größten deutschen Unternehmen an der Börse stehen.
t1::A2::die börse::generated | t1 | A2 | die Börse | generated | Viele Menschen verfolgen jeden Tag die Nachrichten von der Börse.
t1::A2::steigen::original | t1 | A2 | steigen | original | Wenn der DAX steigt, bedeutet das: Die Unternehmen haben viel Geld verdient.
t1::A2::steigen::generated | t1 | A2 | steigen | generated | Die Aktien können schnell steigen, wenn die Stimmung gut ist.
t1::A2::verdienen::original | t1 | A2 | verdienen | original | Die Unternehmen haben viel Geld verdient.
t1::A2::verdienen::generated | t1 | A2 | verdienen | generated | Gute Firmen verdienen oft auch in schwierigen Zeiten Geld.
t1::A2::der investor::original | t1 | A2 | der Investor | original | Viele Investoren kaufen Aktien.
t1::A2::der investor::generated | t1 | A2 | der Investor | generated | Ein Investor versucht, sein Geld sinnvoll anzulegen.
t1::A2::die aktie::original | t1 | A2 | die Aktie | original | Viele Investoren kaufen Aktien.
t1::A2::die aktie::generated | t1 | A2 | die Aktie | generated | Eine Aktie kann im Preis steigen oder fallen.
t1::A2::die wirtschaft::original | t1 | A2 | die Wirtschaft | original | Das ist ein gutes Zeichen für die Wirtschaft.
t1::A2::die wirtschaft::generated | t1 | A2 | die Wirtschaft | generated | Eine starke Wirtschaft schafft oft neue Arbeitsplätze.
t1::A2::hoch::original | t1 | A2 | hoch | original | Die Preise für Lebensmittel und Wohnungen sind immer noch hoch.
t1::A2::hoch::generated | t1 | A2 | hoch | generated | Die Nachfrage ist hoch, deshalb werden viele Produkte teurer.
t1::A2::der widerspruch::original | t1 | A2 | der Widerspruch | original | Das ist ein Widerspruch.
t1::A2::der widerspruch::generated | t1 | A2 | der Widerspruch | generated | Es wirkt wie ein Widerspruch, wenn die Börse steigt, aber viele Menschen sparen müssen.
t1::B1::das allzeithoch::original | t1 | B1 | das Allzeithoch | original | Der deutsche Aktienindex DAX hat in der zweiten Aprilwoche 2026 ein neues Allzeithoch erreicht.
t1::B1::das allzeithoch::generated | t1 | B1 | das Allzeithoch | generated | Ein Allzeithoch zeigt, dass ein Markt so hoch steht wie noch nie zuvor.
t1::B1::der haupttreiber::original | t1 | B1 | der Haupttreiber | original | Als Haupttreiber gelten starke Quartalsergebnisse mehrerer DAX-Konzerne, insbesondere SAP, Siemens und Allianz.
t1::B1::der haupttreiber::generated | t1 | B1 | der Haupttreiber | generated | Ein Haupttreiber für steigende Kurse kann auch die Hoffnung auf sinkende Zinsen sein.
t1::B1::die erleichterung::original | t1 | B1 | die Erleichterung | original | Hinzu kommt die Erleichterung über die Waffenruhe im Iran-Konflikt, die die Energiepreise stabilisiert hat.
t1::B1::die erleichterung::generated | t1 | B1 | die Erleichterung | generated | Nach guten Nachrichten spüren viele Anleger sofort Erleichterung.
t1::B1::die waffenruhe::original | t1 | B1 | die Waffenruhe | original | Hinzu kommt die Erleichterung über die Waffenruhe im Iran-Konflikt, die die Energiepreise stabilisiert hat.
t1::B1::die waffenruhe::generated | t1 | B1 | die Waffenruhe | generated | Eine Waffenruhe kann Märkte beruhigen und neue Hoffnungen schaffen.
t1::B1::die zinssenkung::original | t1 | B1 | die Zinssenkung | original | Auch die Aussicht auf weitere Zinssenkungen der Europäischen Zentralbank beflügelt die Stimmung.
t1::B1::die zinssenkung::generated | t1 | B1 | die Zinssenkung | generated | Eine Zinssenkung macht Kredite oft billiger und Aktien attraktiver.
t1::B1::die stimmung::original | t1 | B1 | die Stimmung | original | Auch die Aussicht auf weitere Zinssenkungen der Europäischen Zentralbank beflügelt die Stimmung.
t1::B1::die stimmung::generated | t1 | B1 | die Stimmung | generated | Eine gute Stimmung an der Börse kann viele Käufer anziehen.
t1::B1::warnen::original | t1 | B1 | warnen | original | Experten warnen jedoch vor Überoptimismus.
t1::B1::warnen::generated | t1 | B1 | warnen | generated | Analysten warnen oft davor, in einer Euphorie unvorsichtig zu investieren.
t1::B1::der zustand::original | t1 | B1 | der Zustand | original | Ein steigender Aktienindex spiegelt nicht zwingend den Zustand der Gesamtwirtschaft wider.
t1::B1::der zustand::generated | t1 | B1 | der Zustand | generated | Der Zustand einer Wirtschaft hängt von vielen Faktoren ab.
t1::B1::die binnennachfrage::original | t1 | B1 | die Binnennachfrage | original | Die Binnennachfrage in Deutschland bleibt schwach, und viele mittelständische Unternehmen kämpfen weiterhin mit hohen Kosten.
t1::B1::die binnennachfrage::generated | t1 | B1 | die Binnennachfrage | generated | Wenn die Binnennachfrage sinkt, verkaufen viele Firmen im Inland weniger.
t1::B1::schwach::original | t1 | B1 | schwach | original | Die Binnennachfrage in Deutschland bleibt schwach, und viele mittelständische Unternehmen kämpfen weiterhin mit hohen Kosten.
t1::B1::schwach::generated | t1 | B1 | schwach | generated | Eine schwache Nachfrage belastet oft die gesamte Wirtschaft.
t1::B2::die rally::original | t1 | B2 | die Rally | original | Die Rally wird von einem Mix aus stabilen Unternehmensgewinnen, gesunkenen Zinsen und geopolitischer Entspannung getragen – eine Konstellation, die Anleger in risikoreichere Assets treibt.
t1::B2::die rally::generated | t1 | B2 | die Rally | generated | Eine Rally an der Börse kann schnell sehr viele neue Käufer anziehen.
t1::B2::die konstellation::original | t1 | B2 | die Konstellation | original | Die Rally wird von einem Mix aus stabilen Unternehmensgewinnen, gesunkenen Zinsen und geopolitischer Entspannung getragen – eine Konstellation, die Anleger in risikoreichere Assets treibt.
t1::B2::die konstellation::generated | t1 | B2 | die Konstellation | generated | Diese Konstellation aus niedrigen Zinsen und hoher Nachfrage stützt viele Märkte.
t1::B2::die indexstärke::original | t1 | B2 | die Indexstärke | original | Besonders SAP trägt zur Indexstärke bei.
t1::B2::die indexstärke::generated | t1 | B2 | die Indexstärke | generated | Eine starke Indexstärke kann auf wenige sehr schwere Aktien zurückgehen.
t1::B2::der cloud-umsatz::original | t1 | B2 | der Cloud-Umsatz | original | Der Walldorfer Softwarekonzern hat seinen Cloud-Umsatz 2025 auf 21 Milliarden Euro gesteigert.
t1::B2::der cloud-umsatz::generated | t1 | B2 | der Cloud-Umsatz | generated | Der Cloud-Umsatz wächst oft schneller als das klassische Softwaregeschäft.
t1::B2::der free cashflow::original | t1 | B2 | der Free Cashflow | original | Der Walldorfer Softwarekonzern hat seinen Cloud-Umsatz 2025 auf 21 Milliarden Euro gesteigert und peilt für 2026 einen Free Cashflow von 10 Milliarden Euro an.
t1::B2::der free cashflow::generated | t1 | B2 | der Free Cashflow | generated | Ein hoher Free Cashflow macht ein Unternehmen für viele Investoren attraktiv.
t1::B2::profitieren::original | t1 | B2 | profitieren | original | Auch Siemens Energy profitiert vom Boom bei Infrastrukturausrüstung.
t1::B2::profitieren::generated | t1 | B2 | profitieren | generated | Viele Unternehmen profitieren, wenn der Staat mehr investiert.
t1::B2::die konjunktur::original | t1 | B2 | die Konjunktur | original | Während der DAX Rekorde schreibt, stagniert die deutsche Konjunktur.
t1::B2::die konjunktur::generated | t1 | B2 | die Konjunktur | generated | Eine schwache Konjunktur bremst oft auch den Konsum der privaten Haushalte.
t1::B2::der einstiegszeitpunkt::original | t1 | B2 | der Einstiegszeitpunkt | original | Für Kleinanleger, die erst jetzt einsteigen wollen, stellt sich die klassische Frage: Ist das noch ein guter Einstiegszeitpunkt – oder der Gipfel vor dem Absturz?
t1::B2::der einstiegszeitpunkt::generated | t1 | B2 | der Einstiegszeitpunkt | generated | Der richtige Einstiegszeitpunkt ist an der Börse oft schwer zu erkennen.
t1::B2::der absturz::original | t1 | B2 | der Absturz | original | Für Kleinanleger, die erst jetzt einsteigen wollen, stellt sich die klassische Frage: Ist das noch ein guter Einstiegszeitpunkt – oder der Gipfel vor dem Absturz?
t1::B2::der absturz::generated | t1 | B2 | der Absturz | generated | Nach einem schnellen Anstieg fürchten viele Anleger einen plötzlichen Absturz.
t1::C1::die entkopplung::original | t1 | C1 | die Entkopplung | original | Dass der wichtigste deutsche Aktienindex Rekordstände markiert, während die Binnennachfrage stagniert, die Insolvenzzahlen im Mittelstand historische Höchststände erreichen und die Industrieproduktion in weiten Teilen rückläufig ist, offenbart eine zunehmende Entkopplung von Börsenwert und volkswirtschaftlicher Substanz.
t1::C1::die entkopplung::generated | t1 | C1 | die Entkopplung | generated | Die Entkopplung zwischen Börse und Realwirtschaft ist eines der zentralen Themen des Artikels.
t1::C1::die binnennachfrage::original | t1 | C1 | die Binnennachfrage | original | Dass der wichtigste deutsche Aktienindex Rekordstände markiert, während die Binnennachfrage stagniert, die Insolvenzzahlen im Mittelstand historische Höchststände erreichen und die Industrieproduktion in weiten Teilen rückläufig ist, offenbart eine zunehmende Entkopplung von Börsenwert und volkswirtschaftlicher Substanz.
t1::C1::die binnennachfrage::generated | t1 | C1 | die Binnennachfrage | generated | Eine schwache Binnennachfrage kann das Wachstum einer Volkswirtschaft deutlich bremsen.
t1::C1::die insolvenzzahl::original | t1 | C1 | die Insolvenzzahl | original | Dass der wichtigste deutsche Aktienindex Rekordstände markiert, während die Binnennachfrage stagniert, die Insolvenzzahlen im Mittelstand historische Höchststände erreichen und die Industrieproduktion in weiten Teilen rückläufig ist, offenbart eine zunehmende Entkopplung von Börsenwert und volkswirtschaftlicher Substanz.
t1::C1::die insolvenzzahl::generated | t1 | C1 | die Insolvenzzahl | generated | Steigende Insolvenzzahlen sind oft ein Warnsignal für die reale Wirtschaft.
t1::C1::die substanz::original | t1 | C1 | die Substanz | original | Dass der wichtigste deutsche Aktienindex Rekordstände markiert, während die Binnennachfrage stagniert, die Insolvenzzahlen im Mittelstand historische Höchststände erreichen und die Industrieproduktion in weiten Teilen rückläufig ist, offenbart eine zunehmende Entkopplung von Börsenwert und volkswirtschaftlicher Substanz.
t1::C1::die substanz::generated | t1 | C1 | die Substanz | generated | Auf lange Sicht setzt sich an den Märkten meist die wirtschaftliche Substanz durch.
t1::C1::das abbild::original | t1 | C1 | das Abbild | original | Der DAX ist kein Abbild der deutschen Wirtschaft, sondern ein Index multinationaler Konzerne, die den Großteil ihres Umsätzes im Ausland erzielen.
t1::C1::das abbild::generated | t1 | C1 | das Abbild | generated | Ein Aktienindex ist nicht immer ein genaues Abbild der gesamten Wirtschaft.
t1::C1::multinational::original | t1 | C1 | multinational | original | Der DAX ist kein Abbild der deutschen Wirtschaft, sondern ein Index multinationaler Konzerne, die den Großteil ihres Umsätzes im Ausland erzielen.
t1::C1::multinational::generated | t1 | C1 | multinational | generated | Viele multinationale Konzerne reagieren stärker auf globale als auf nationale Entwicklungen.
t1::C1::die finanzmarktbedingungen::original | t1 | C1 | die Finanzmarktbedingungen | original | Ein steigender DAX signalisiert damit primär, dass globale Nachfrage und internationale Finanzmarktbedingungen günstig sind – nicht, dass der Standort Deutschland floriert.
t1::C1::die finanzmarktbedingungen::generated | t1 | C1 | die Finanzmarktbedingungen | generated | Günstige Finanzmarktbedingungen können die Kurse auch ohne starke Binnenwirtschaft treiben.
t1::C1::zweideutig::original | t1 | C1 | zweideutig | original | Geldpolitisch bleibt die Lage zweideutig.
t1::C1::zweideutig::generated | t1 | C1 | zweideutig | generated | Die Lage ist zweideutig, weil positive Börsensignale und schwache Konjunkturdaten gleichzeitig auftreten.
t1::C1::die tina-logik::original | t1 | C1 | die TINA-Logik | original | Diese sogenannte TINA-Logik (There Is No Alternative) treibt Kapital in Aktienmärkte, auch wenn die Fundamentaldaten ambivalent bleiben.
t1::C1::die tina-logik::generated | t1 | C1 | die TINA-Logik | generated | Die TINA-Logik erklärt, warum Anleger trotz Risiken weiter Aktien kaufen.
t1::C1::ambivalent::original | t1 | C1 | ambivalent | original | Diese sogenannte TINA-Logik (There Is No Alternative) treibt Kapital in Aktienmärkte, auch wenn die Fundamentaldaten ambivalent bleiben.
t1::C1::ambivalent::generated | t1 | C1 | ambivalent | generated | Viele Wirtschaftsdaten bleiben ambivalent und lassen unterschiedliche Interpretationen zu.
t2::A2::das unternehmen::original | t2 | A2 | das Unternehmen | original | SAP ist ein deutsches Unternehmen.
t2::A2::das unternehmen::generated | t2 | A2 | das Unternehmen | generated | Ein Unternehmen braucht gute Produkte und gute Mitarbeiter.
t2::A2::die software::original | t2 | A2 | die Software | original | SAP macht Software für andere Firmen.
t2::A2::die software::generated | t2 | A2 | die Software | generated | Gute Software spart in vielen Firmen Zeit und Geld.
t2::A2::wichtig::original | t2 | A2 | wichtig | original | Das ist sehr wichtig für die Wirtschaft.
t2::A2::wichtig::generated | t2 | A2 | wichtig | generated | Digitale Systeme sind für viele Unternehmen wichtig.
t2::A2::wertvoll::original | t2 | A2 | wertvoll | original | SAP ist das wertvollste Unternehmen in Deutschland.
t2::A2::wertvoll::generated | t2 | A2 | wertvoll | generated | Ein wertvolles Unternehmen wächst oft über viele Jahre.
t2::A2::die aktie::original | t2 | A2 | die Aktie | original | Die Aktie von SAP ist sehr viel Geld wert.
t2::A2::die aktie::generated | t2 | A2 | die Aktie | generated | Viele Menschen kaufen eine Aktie, wenn sie an das Unternehmen glauben.
t2::A2::der umsatz::original | t2 | A2 | der Umsatz | original | Der Umsatz war ein Rekord.
t2::A2::der umsatz::generated | t2 | A2 | der Umsatz | generated | Ein hoher Umsatz ist oft ein Zeichen für starke Nachfrage.
t2::A2::verdienen::original | t2 | A2 | verdienen | original | Im Jahr 2025 hat SAP sehr viel Geld verdient.
t2::A2::verdienen::generated | t2 | A2 | verdienen | generated | Erfolgreiche Firmen verdienen oft weltweit Geld.
t2::A2::benutzen::original | t2 | A2 | benutzen | original | Viele Unternehmen auf der ganzen Welt benutzen SAP-Software.
t2::A2::benutzen::generated | t2 | A2 | benutzen | generated | Viele Firmen benutzen dieselbe Software für ihre Daten.
t2::B1::die börsenkapitalisierung::original | t2 | B1 | die Börsenkapitalisierung | original | SAP ist mit einer Börsenkapitalisierung von über 280 Milliarden Euro das wertvollste Unternehmen Deutschlands – und einer der führenden Softwarekonzerne weltweit.
t2::B1::die börsenkapitalisierung::generated | t2 | B1 | die Börsenkapitalisierung | generated | Die Börsenkapitalisierung zeigt, wie hoch ein Unternehmen an der Börse bewertet wird.
t2::B1::der softwarekonzern::original | t2 | B1 | der Softwarekonzern | original | SAP ist mit einer Börsenkapitalisierung von über 280 Milliarden Euro das wertvollste Unternehmen Deutschlands – und einer der führenden Softwarekonzerne weltweit.
t2::B1::der softwarekonzern::generated | t2 | B1 | der Softwarekonzern | generated | Ein Softwarekonzern verkauft oft Programme an Kunden auf der ganzen Welt.
t2::B1::die transformation::original | t2 | B1 | die Transformation | original | Der Erfolg basiert auf einer Transformation, die vor einigen Jahren begann: weg vom klassischen Lizenzgeschäft, hin zu cloudbasierten Abonnementdiensten.
t2::B1::die transformation::generated | t2 | B1 | die Transformation | generated | Eine Transformation braucht in großen Firmen oft mehrere Jahre.
t2::B1::das lizenzgeschäft::original | t2 | B1 | das Lizenzgeschäft | original | Der Erfolg basiert auf einer Transformation, die vor einigen Jahren begann: weg vom klassischen Lizenzgeschäft, hin zu cloudbasierten Abonnementdiensten.
t2::B1::das lizenzgeschäft::generated | t2 | B1 | das Lizenzgeschäft | generated | Das Lizenzgeschäft bringt oft einmalige Einnahmen statt regelmäßiger Zahlungen.
